time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-17T05:46:26.320Z,19.4634990692139,-155.650161743164,-3.10999989509583,3.1,ml,46,73,,0.370000005,hv,hv72429282,2021-04-17T06:45:45.250Z,"22 km E of Honaunau-Napoopoo, Hawaii",earthquake,0.49,0.289999992,3.66,36,automatic,hv,hv
2021-04-17T04:46:26.140Z,17.973,-66.977,6,2.54,md,21,177,0.0673,0.08,pr,pr2021107003,2021-04-17T05:57:46.108Z,"6 km WSW of Fuig, Puerto Rico",earthquake,0.28,0.19,0.27,13,reviewed,pr,pr
2021-04-17T03:50:57.187Z,-30.4545,-72.0753,10,4.9,mww,,94,0.438,1.04,us,us6000e2aa,2021-04-17T04:50:43.130Z,"85 km W of Ovalle, Chile",earthquake,3,1.9,0.093,11,reviewed,us,us
2021-04-17T02:32:54.205Z,11.7756,-87.1013,49.51,4.3,mb,,174,0.869,1.03,us,us6000e29z,2021-04-17T02:51:49.040Z,"near the coast of Nicaragua",earthquake,3.8,12.3,0.128,17,reviewed,us,us
2021-04-17T02:12:51.340Z,32.6258,-109.1551,16.04,2.7,ml,,73,0.09,1.25,us,us6000e29u,2021-04-17T04:12:41.271Z,"9 km SW of Franklin, Arizona",earthquake,3.7,8.2,0.085,18,reviewed,us,us
2021-04-17T01:38:47.313Z,60.5634,-147.9467,12.9,2.9,ml,,,,0.58,ak,ak0214wzbtbd,2021-04-17T01:57:55.040Z,"46 km ESE of Whittier, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-17T01:27:21.617Z,21.511,145.9753,10,5.3,mb,,58,6.254,0.82,us,us6000e29p,2021-04-17T05:37:24.076Z,"Mariana Islands region",earthquake,9,1.8,0.028,439,reviewed,us,us
2021-04-17T01:04:53.776Z,5.1158,95.4508,100.74,5,mww,,50,1.494,1.13,us,us6000e29d,2021-04-17T02:23:46.858Z,"48 km SSE of Banda Aceh, Indonesia",earthquake,8.2,6.3,0.098,10,reviewed,us,us
2021-04-17T01:01:37.585Z,31.65836951,-104.2965295,7.674047852000001,3,ml,36,59,0.1160025171,0.2,tx,tx2021hltj,2021-04-17T01:15:41.519Z,"57 km S of Whites City, New Mexico",earthquake,0.8837226958,1.456810672,0.1,18,reviewed,tx,tx
2021-04-17T00:46:06.763Z,-14.9452,-178.2952,400.34,4.3,mb,,116,0.655,0.89,us,us6000e29a,2021-04-17T01:03:12.040Z,"72 km SSW of Alo, Wallis and Futuna",earthquake,15.3,9.3,0.148,13,reviewed,us,us
2021-04-17T00:30:37.140Z,17.9966,-66.8263,17,2.62,md,19,186,0.2196,0.16,pr,pr2021107000,2021-04-17T01:24:16.300Z,"0 km WNW of Indios, Puerto Rico",earthquake,0.64,0.57,0.15,10,reviewed,pr,pr
2021-04-16T22:57:05.424Z,-44.7699,167.0624,18.4,4.4,mwr,,103,0.697,0.79,us,us6000e28w,2021-04-16T23:27:52.322Z,"88 km NW of Te Anau, New Zealand",earthquake,6.9,6.2,0.054,33,reviewed,us,us
2021-04-16T22:13:09.573Z,-28.5689,-176.2551,10,5.2,mb,,58,11.975,1.25,us,us6000e28n,2021-04-16T22:32:25.040Z,"Kermadec Islands region",earthquake,11.1,1.9,0.045,164,reviewed,us,us
2021-04-16T20:55:09.244Z,3.5835,126.8291,18.9,5.4,mww,,65,2.844,1.15,us,us6000e280,2021-04-16T22:57:55.215Z,"243 km NNW of Tobelo, Indonesia",earthquake,4.3,3.7,0.073,18,reviewed,us,us
2021-04-16T20:00:19.160Z,-30.317,-177.8339,10,5,mb,,114,7.905,0.85,us,us6000e27t,2021-04-16T21:37:49.040Z,"Kermadec Islands, New Zealand",earthquake,13,1.8,0.094,41,reviewed,us,us
2021-04-16T19:47:09.487Z,-62.2459,-58.0379,10,4.9,mb,,134,0.292,1.47,us,us6000e277,2021-04-16T20:06:15.040Z,"South Shetland Islands",earthquake,7.6,1.9,0.108,27,reviewed,us,us
2021-04-16T18:15:59.400Z,63.3889,-151.2167,2.3,2.5,ml,,,,0.81,ak,ak0214vls0p7,2021-04-16T18:59:57.040Z,"30 km SE of Denali National Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-16T16:40:30.444Z,-21.7242,-179.3719,578.57,5.4,mww,,30,4.642,1.12,us,us6000e24m,2021-04-16T22:14:16.354Z,"Fiji region",earthquake,9.9,5.4,0.098,10,reviewed,us,us
2021-04-16T16:21:49.617Z,23.9297,122.0837,19.25,4.5,mb,,104,0.508,0.6,us,us6000e24g,2021-04-16T16:59:11.040Z,"49 km E of Hualien City, Taiwan",earthquake,3.7,4.7,0.064,72,reviewed,us,us
2021-04-16T12:17:53.963Z,4.7902,125.5193,163.21,4.5,mb,,84,2.265,0.89,us,us6000e21i,2021-04-16T12:46:52.040Z,"68 km S of Sarangani, Philippines",earthquake,7.6,7.2,0.071,61,reviewed,us,us
2021-04-16T11:51:36.538Z,38.2886,142.1671,35,4.5,mb,,150,2.639,1.14,us,us6000e21g,2021-04-16T14:00:56.040Z,"77 km E of Ishinomaki, Japan",earthquake,6.2,2,0.15,16,reviewed,us,us
2021-04-16T09:35:58.730Z,38.7709999,-122.7220001,1.66,2.82,md,57,45,0.009656,0.07,nc,nc73550145,2021-04-16T13:50:28.959Z,"3km W of Anderson Springs, CA",earthquake,0.15,0.23,0.17,41,automatic,nc,nc
2021-04-16T09:35:51.092Z,-16.4856,-177.2785,397.04,4.3,mb,,118,2.312,0.65,us,us6000e212,2021-04-16T10:12:19.040Z,"256 km SSE of Alo, Wallis and Futuna",earthquake,12.8,8.3,0.065,67,reviewed,us,us
2021-04-16T08:09:52.648Z,-30.8373,-71.4374,43.17,4.4,mb,,129,0.235,0.68,us,us6000e20b,2021-04-16T15:45:12.494Z,"34 km SW of Ovalle, Chile",earthquake,3.8,9.7,0.144,14,reviewed,us,us
2021-04-16T08:06:07.516Z,39.5756,118.5879,10,4.4,mb,,59,1.916,0.97,us,us6000e20l,2021-04-16T16:44:48.069Z,"19 km SE of Linxi, China",earthquake,4.3,1.9,0.084,41,reviewed,us,us
2021-04-16T05:07:57.534Z,53.3566,-177.6974,190.8,2.5,ml,,,,0.41,ak,ak0214vdzov0,2021-04-16T18:18:53.671Z,"180 km NNW of Adak, Alaska",earthquake,,7,,,reviewed,ak,ak
2021-04-16T05:04:13.493Z,59.1174,-138.2535,0,3,ml,,,,0.78,ak,ak0214vdyu9u,2021-04-16T05:20:39.040Z,"96 km ESE of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-16T04:59:46.119Z,31.59702031,-104.209716,6.157275391,2.6,ml,30,57,0.1467058657,0.3,tx,tx2021hkfs,2021-04-17T04:38:37.090Z,"50 km NW of Toyah, Texas",earthquake,1.372454352,1.56069451,0.1,14,reviewed,tx,tx
2021-04-16T04:53:40.571Z,27.6897,139.9803,494.11,4.1,mb,,66,2.047,0.75,us,us6000e1zu,2021-04-16T05:12:03.040Z,"Bonin Islands, Japan region",earthquake,11.8,8.9,0.041,162,reviewed,us,us
2021-04-16T04:09:45.220Z,40.4035,-124.4525,20.17,3.54,mw,22,240,0.1135,0.14,nc,nc73550055,2021-04-17T05:54:49.570Z,"17km WNW of Petrolia, CA",earthquake,0.64,0.35,,4,reviewed,nc,nc
2021-04-16T03:42:05.363Z,-10.3259,116.9514,22.7,5.4,mww,,46,3.321,1.26,us,us6000e1zp,2021-04-17T03:45:37.282Z,"194 km SSE of Praya, Indonesia",earthquake,7.1,4.7,0.078,16,reviewed,us,us
2021-04-16T03:23:46.690Z,17.9658,-66.9833,6,2.45,md,15,197,0.061,0.15,pr,pr2021106000,2021-04-16T03:46:27.405Z,"6 km E of La Parguera, Puerto Rico",earthquake,0.5,0.27,0.21,10,reviewed,pr,pr
2021-04-16T01:14:25.564Z,-19.5488,-69.4307,103.34,4.4,mwr,,92,0.252,1.22,us,us6000e1z5,2021-04-16T20:47:42.912Z,"105 km NE of Iquique, Chile",earthquake,6.2,4.7,,,reviewed,us,guc
2021-04-16T00:43:51.253Z,32.5748,-94.005,14.66,3.1,mb_lg,,73,0.984,0.68,us,us6000e1z3,2021-04-16T21:36:30.045Z,"10 km W of Blanchard, Louisiana",earthquake,4.3,8.2,0.043,143,reviewed,us,us
2021-04-16T00:23:21.606Z,17.874,147.2263,43.52,5.1,mb,,81,2.963,0.91,us,us6000e1z0,2021-04-17T00:33:30.328Z,"Mariana Islands region",earthquake,10.4,6.9,0.038,227,reviewed,us,us
2021-04-15T23:57:07.202Z,46.1291,152.9228,10,4.7,mb,,136,7.058,0.65,us,us6000e1yw,2021-04-16T01:02:49.040Z,"Kuril Islands",earthquake,6.8,1.8,0.066,69,reviewed,us,us
2021-04-15T23:16:19.070Z,36.477,-117.5191667,-0.65,2.61,ml,34,85,0.2134,0.13,ci,ci39851592,2021-04-16T02:38:31.950Z,"36km WSW of Stovepipe Wells, CA",earthquake,0.21,0.5,0.09,25,reviewed,ci,ci
2021-04-15T22:26:24.078Z,32.488,78.7179,10,4.6,mb,,64,8.334,0.9,us,us6000e1yd,2021-04-16T04:18:34.450Z,"139 km NE of Sarāhan, India",earthquake,8.8,1.9,0.051,116,reviewed,us,us
2021-04-15T22:25:49.667Z,31.1552793,-103.0473729,4.023510742,3.1,ml,33,49,0.0471371416,0.3,tx,tx2021hjss,2021-04-16T15:36:17.790Z,"9 km S of Coyanosa, Texas",earthquake,0.9706550381,0.7118875731,0.1,18,reviewed,tx,tx
2021-04-15T22:24:40.340Z,54.7406,-160.6047,29.15,3.3,ml,,173,0.594,0.65,us,us6000e1yc,2021-04-15T22:38:45.040Z,"66 km S of Sand Point, Alaska",earthquake,5.1,11.4,0.066,30,reviewed,us,us
2021-04-15T21:30:43.050Z,17.9801,-66.9913,13,2.77,md,18,169,0.054,0.15,pr,pr2021105003,2021-04-15T21:59:19.284Z,"5 km E of La Parguera, Puerto Rico",earthquake,0.42,0.27,0.23,13,reviewed,pr,pr
2021-04-15T20:04:20.949Z,63.1584,-149.3032,86.6,3,ml,,,,0.6,ak,ak0214tzd0e4,2021-04-15T20:31:43.040Z,"31 km SW of Cantwell, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-15T19:20:02.424Z,16.0616,-98.2993,10,4.3,mb,,251,1.514,0.69,us,us6000e1x5,2021-04-15T20:00:07.040Z,"22 km SSW of Corralero, Mexico",earthquake,9.5,2,0.064,69,reviewed,us,us
2021-04-15T19:16:32.215Z,-8.6533,-79.8503,35,4.9,mb,,136,4.442,0.81,us,us6000e1x2,2021-04-15T19:50:07.040Z,"102 km SW of Santiago de Cao, Peru",earthquake,9.4,2,0.065,75,reviewed,us,us
2021-04-15T18:10:06.615Z,14.8686,-94.1175,40.32,4.6,mb,,189,2.369,0.7,us,us6000e1wp,2021-04-15T20:22:56.040Z,"118 km SSW of Manuel Ávila Camacho (Ponte Duro), Mexico",earthquake,5.9,8.8,0.039,198,reviewed,us,us
2021-04-15T18:05:03.520Z,35.6786667,-117.5368333,6.81,3.06,ml,59,37,0.106,0.12,ci,ci39851144,2021-04-16T14:48:16.753Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.32,0.157,231,reviewed,ci,ci
2021-04-15T16:53:26.790Z,18.9193,-68.7221,69,3.18,md,7,155,0.5295,0.61,pr,pr2021105002,2021-04-15T19:18:58.040Z,"Mona Passage",earthquake,4.36,6.49,0.71,5,reviewed,pr,pr
2021-04-15T16:42:03.879Z,51.2274,100.4112,17.13,4.6,mb,,35,2.072,0.6,us,us6000e1vu,2021-04-15T19:04:44.040Z,"35 km SSW of Turt, Mongolia",earthquake,4,4.5,0.053,114,reviewed,us,us
2021-04-15T15:05:09.184Z,38.0707,-118.2634,6.8,2.5,ml,29,76.38,0.189,0.135,nn,nn00805087,2021-04-15T18:37:05.109Z,"33 km NE of Benton, California",earthquake,,3.8,0.25,16,reviewed,nn,nn
2021-04-15T14:53:13.060Z,62.0242,-150.9897,62,2.6,ml,,,,0.64,ak,ak0214tw2w9a,2021-04-15T17:01:53.040Z,"21 km E of Skwentna, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-15T14:26:42.180Z,19.198,-155.511666666667,35.18,2.64,md,54,67,,0.1,hv,hv72426997,2021-04-15T21:08:53.988Z,"3 km W of Pāhala, Hawaii",earthquake,0.42,0.52,0.115338209359746,22,reviewed,hv,hv
2021-04-15T14:26:39.469Z,34.98483333,-97.68016667,11.14,3.26,ml,90,34,0,0.29,ok,ok2021hjcx,2021-04-16T14:29:06.214Z,"7 km SW of Dibble, Oklahoma",earthquake,,1,0.24,41,reviewed,ok,ok
2021-04-15T13:39:27.820Z,38.8293343,-122.8108368,1.77,2.55,md,53,40,0.005961,0.06,nc,nc73549690,2021-04-16T05:47:38.952Z,"8km NW of The Geysers, CA",earthquake,0.14,0.22,0.12,30,automatic,nc,nc
2021-04-15T11:23:49.880Z,41.5894,142.0346,63.43,4.3,mb,,149,0.94,0.61,us,us6000e1rm,2021-04-15T11:53:45.851Z,"76 km ENE of Mutsu, Japan",earthquake,7.7,10.7,0.081,43,reviewed,us,us
2021-04-15T10:53:34.589Z,-17.9992,-177.829,616.95,4.2,mb,,99,3.681,0.76,us,us6000e1rg,2021-04-15T11:11:38.040Z,"Fiji region",earthquake,14.8,10.5,0.048,124,reviewed,us,us
2021-04-15T10:36:19.595Z,-10.5932,117.0468,10,5.4,mww,,99,3.549,1.21,us,us6000e1rc,2021-04-16T10:39:20.101Z,"225 km SSE of Praya, Indonesia",earthquake,5,1.7,0.083,14,reviewed,us,us
2021-04-15T09:29:55.226Z,68.2719,-18.3904,10,4.4,mb,,75,2.554,0.8,us,us6000e1qy,2021-04-15T10:16:58.040Z,"237 km N of Siglufjörður, Iceland",earthquake,5.4,1.9,0.098,30,reviewed,us,us
2021-04-15T08:40:28.050Z,18.0011,-66.778,12,2.74,md,22,161,0.1768,0.25,pr,pr2021105000,2021-04-15T08:58:37.851Z,"2 km SSW of Magas Arriba, Puerto Rico",earthquake,0.44,0.37,0.26,13,reviewed,pr,pr
2021-04-15T08:33:41.786Z,53.5356,171.5978,16.68,5.3,mww,,87,1.711,0.83,us,us6000e1qs,2021-04-15T18:54:25.491Z,"130 km NW of Attu Station, Alaska",earthquake,7.5,4.2,0.046,46,reviewed,us,us
2021-04-15T07:58:28.750Z,40.2778333,-124.4635,12.85,2.54,md,27,244,0.0931,0.17,nc,nc73549625,2021-04-17T04:44:35.040Z,"16km WSW of Petrolia, CA",earthquake,0.51,0.42,0.122,33,reviewed,nc,nc
2021-04-15T07:26:31.059Z,36.96183333,-98.09133333,9.02,3.02,ml,76,96,0,0.13,ok,ok2021hipb,2021-04-15T14:46:35.345Z,"5 km SW of Manchester, Oklahoma",earthquake,,2.3,0.2,39,reviewed,ok,ok
2021-04-15T06:23:19.149Z,61.4628,-146.4899,9.8,2.5,ml,,,,0.93,ak,ak0214tr50f6,2021-04-15T07:09:56.040Z,"37 km NNW of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-15T05:19:51.594Z,63.5366,-147.3186,0,2.9,ml,,,,0.68,ak,ak0214tqisf6,2021-04-15T18:08:26.117Z,"82 km ESE of McKinley Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-04-15T05:13:58.222Z,32.6277,-94.0489,15.7,2.5,mb_lg,,62,1.008,0.58,us,us6000e1q3,2021-04-17T02:18:36.556Z,"10 km SW of Mooringsport, Louisiana",earthquake,2.2,8.4,0.066,59,reviewed,us,us
2021-04-15T04:44:47.539Z,12.3832,141.593,10,5,mww,,39,3.41,0.79,us,us6000e1pk,2021-04-17T04:54:52.106Z,"Mariana Islands region",earthquake,9.8,1.8,0.065,23,reviewed,us,us
2021-04-15T04:33:34.874Z,42.4763,16.0724,19.27,4.6,mb,,70,1.675,0.33,us,us6000e1pg,2021-04-16T13:49:19.853Z,"59 km N of Peschici, Italy",earthquake,2.3,5.3,0.172,10,reviewed,us,us
2021-04-15T04:10:20.950Z,39.2383,26.0848,11.61,4.5,mb,,46,0.659,0.51,us,us6000e1pd,2021-04-16T01:14:03.117Z,"10 km W of Kalloní, Greece",earthquake,4.9,7.6,0.163,11,reviewed,us,us
2021-04-15T03:20:09.443Z,-15.0897,-179.0469,418.13,4.2,mb,,117,1.186,0.5,us,us6000e1pb,2021-04-16T01:07:50.040Z,"130 km SW of Leava, Wallis and Futuna",earthquake,14.9,8.5,0.09,34,reviewed,us,us
2021-04-15T03:13:27.020Z,-2.9903,-75.5388,124.48,4.4,mb,,119,3.712,0.47,us,us6000e1pa,2021-04-16T00:39:42.040Z,"113 km ENE of Alianza Cristiana, Peru",earthquake,9.5,10.2,0.074,52,reviewed,us,us
2021-04-15T02:46:24.180Z,-18.0693,-177.8608,605.82,4.3,mb,,102,3.748,0.71,us,us6000e1p7,2021-04-16T00:18:56.040Z,"298 km E of Levuka, Fiji",earthquake,14.1,6.9,0.081,44,reviewed,us,us
2021-04-14T23:57:53.977Z,35.85388184,-101.004357,7.287516276,2.7,ml,10,85,0.6669392043,0.4,tx,tx2021hiag,2021-04-15T21:31:08.135Z,"34 km NNE of Skellytown, Texas",earthquake,2.247910062,2.587611565,0.1,6,reviewed,tx,tx
2021-04-14T23:54:02.974Z,35.85296631,-101.0077374,7.703247069999999,4.3,ml,21,85,0.6644252693,0.3,tx,tx2021hiaf,2021-04-16T17:16:38.395Z,"34 km NNE of Skellytown, Texas",earthquake,2.077357156,2.078053458,0.1,7,reviewed,tx,tx
2021-04-14T23:44:21.404Z,39.5571,143.1976,30.92,4.3,mb,,158,2.045,0.42,us,us6000e1nv,2021-04-15T08:16:01.414Z,"107 km E of Yamada, Japan",earthquake,8.3,7.7,0.154,12,reviewed,us,us
2021-04-14T23:25:51.920Z,18.0468,-66.8798,17,2.57,md,15,136,0.1817,0.24,pr,pr2021104011,2021-04-14T23:48:45.207Z,"2 km ENE of Lluveras, Puerto Rico",earthquake,0.47,0.95,0.24,13,reviewed,pr,pr
2021-04-14T21:02:41.040Z,17.9313,-66.9298,10,2.48,md,21,211,0.1206,0.11,pr,pr2021104010,2021-04-14T21:21:20.241Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.43,0.51,0.18,16,reviewed,pr,pr
2021-04-14T18:57:54.628Z,69.1239,-144.7133,0,2.5,ml,,,,0.7,ak,ak0214saybt8,2021-04-14T19:08:35.396Z,"116 km NNE of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-04-14T18:09:38.117Z,24.7618,122.023,10,4.4,mb,,83,0.522,0.92,us,us6000e1li,2021-04-14T19:13:00.040Z,"27 km E of Yilan, Taiwan",earthquake,3.7,1.9,0.139,15,reviewed,us,us
2021-04-14T17:03:51.030Z,17.9198,-66.83,11,2.78,md,17,224,0.2199,0.19,pr,pr2021104009,2021-04-14T17:25:16.713Z,"8 km S of Indios, Puerto Rico",earthquake,0.5,0.5,0.19,13,reviewed,pr,pr
2021-04-14T16:35:14.733Z,22.2705,121.6404,10,4.3,mb,,234,0.751,0.76,us,us6000e1iv,2021-04-14T21:49:12.040Z,"97 km ENE of Hengchun, Taiwan",earthquake,4.7,1.9,0.122,19,reviewed,us,us
2021-04-14T16:18:29.760Z,17.9565,-66.8686,9,3.13,md,21,186,0.1761,0.16,pr,pr2021104008,2021-04-15T02:28:41.830Z,"3 km SE of Maria Antonia, Puerto Rico",earthquake,0.48,0.61,0.06,9,reviewed,pr,pr
2021-04-14T15:52:44.558Z,-18.5055,-174.5532,91.92,5,mb,,156,5.289,0.76,us,us6000e1is,2021-04-14T21:27:56.040Z,"62 km WNW of Neiafu, Tonga",earthquake,14.3,6.9,0.108,27,reviewed,us,us
2021-04-14T14:55:08.729Z,31.71820288,-104.5272472,5.643115234,2.7,ml,22,82,0.03652226166,0.3,tx,tx2021hhii,2021-04-14T15:10:02.819Z,"52 km SSW of Whites City, New Mexico",earthquake,1.5039967350000003,1.122340614,0.1,11,reviewed,tx,tx
2021-04-14T12:48:51.410Z,12.6681,-87.978,65.74,4.6,mb,,133,0.864,0.66,us,us6000e1gp,2021-04-14T13:08:35.040Z,"57 km W of Jiquilillo, Nicaragua",earthquake,6.3,8.7,0.03,333,reviewed,us,us
2021-04-14T11:59:44.706Z,19.4465,-101.5428,64.84,4.1,mb,,172,0.358,0.9,us,us6000e1gf,2021-04-14T14:55:47.898Z,"2 km NE of Santa Juana, Mexico",earthquake,9.5,13.5,0.127,17,reviewed,us,us
